1.0	fortune	have	dollar slice	O	O
1.0	Smith	guess	jeans model	PERSON	0
1.0	bombshell	have	have lock in bitter battle with Marshall 's family over she claim to multi-million dollar slice of she late husband 's fortune	0	PERSON
1.0	bombshell	have	have lock in bitter legal battle with Marshall 's family to multi-million dollar slice	0	PERSON
1.0	bombshell	have	have lock in battle with Marshall 's family over she claim	0	PERSON
1.0	blonde bombshell	have	have lock in battle to dollar slice of she late husband 's vast fortune	0	0
1.0	a	have	Playmate	MISC	O
1.0	bombshell	have	have lock in battle with Marshall 's family to multi-million dollar slice	0	PERSON
1.0	blonde bombshell	have	have lock in bitter legal battle with Marshall 's family to dollar slice	0	PERSON
1.0	blonde bombshell	have	have lock in bitter legal battle with Marshall 's family over she claim to multi-million dollar slice of she husband 's fortune	0	PERSON
1.0	blonde bombshell	have	have lock in legal battle with Marshall 's family over she claim to multi-million dollar slice	0	PERSON
1.0	bombshell	have	have lock in battle with Marshall 's family over she claim to dollar slice	0	PERSON
1.0	bombshell	have	have lock in legal battle with Marshall 's family to multi-million dollar slice of she husband 's fortune	0	PERSON
1.0	bombshell	have	have lock in bitter battle to dollar slice	0	0
1.0	Birkhead 's lawyer Debra Opri	say at_time	Tuesday	PERSON	DATE
1.0	blonde bombshell	have	have lock in bitter legal battle to multi-million dollar slice	0	0
1.0	blonde bombshell	have	have lock in bitter battle with Marshall 's family over she claim to dollar slice	0	PERSON
1.0	blonde bombshell	have	have lock in bitter battle with Marshall 's family to dollar slice of she late husband 's fortune	0	PERSON
1.0	bombshell	have	have lock in bitter battle with Marshall 's family to dollar slice of she late husband 's fortune	0	PERSON
1.0	blonde bombshell	have	have lock in legal battle to multi-million dollar slice of she husband 's fortune	0	0
1.0	bombshell	have	have lock to dollar slice of she late husband 's vast fortune	0	0
1.0	bombshell	have	have lock in bitter battle with Marshall 's family over she claim to multi-million dollar slice of she late husband 's vast fortune	0	PERSON
1.0	bombshell	have	have lock in bitter legal battle with Marshall 's family over she claim	0	PERSON
1.0	blonde bombshell	have	have lock in legal battle to dollar slice	0	0
1.0	blonde bombshell	have	have lock in bitter legal battle with Marshall 's family over she claim to multi-million dollar slice	0	PERSON
